TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	97/10/31
TIME	21:43:24
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-550, Rev. 1.00
RESOLUTION	
DELTAX	0.5
XUNITS	SEC
YUNITS	ABSORBANCE
FIRSTX	0.0000
LASTX	400.0000
NPOINTS	801
FIRSTY	0.00018
MAXY	0.21720
MINY	-0.00004
XYDATA
0.0000	1.8E-04
0.5000	3E-05
1.0000	-4E-05
1.5000	-3E-05
2.0000	1.4E-04
2.5000	1.6E-04
3.0000	3E-05
3.5000	1.2E-04
4.0000	2E-04
4.5000	1.6E-04
5.0000	1.3E-04
5.5000	1.3E-04
6.0000	1.4E-04
6.5000	1E-04
7.0000	6E-05
7.5000	1.4E-04
8.0000	1.3E-04
8.5000	8E-05
9.0000	8E-05
9.5000	1E-04
10.0000	1E-04
10.5000	9E-05
11.0000	0.00281
11.5000	0.01169
12.0000	0.02386
12.5000	0.03481
13.0000	0.04572
13.5000	0.05586
14.0000	0.06491
14.5000	0.07392
15.0000	0.08236
15.5000	0.09005
16.0000	0.0977
16.5000	0.10466
17.0000	0.11089
17.5000	0.11717
18.0000	0.12284
18.5000	0.12837
19.0000	0.13347
19.5000	0.1381
20.0000	0.14276
20.5000	0.1472
21.0000	0.15123
21.5000	0.15512
22.0000	0.15881
22.5000	0.16218
23.0000	0.16545
23.5000	0.16875
24.0000	0.17179
24.5000	0.17438
25.0000	0.17675
25.5000	0.17916
26.0000	0.1816
26.5000	0.18396
27.0000	0.186
27.5000	0.1879
28.0000	0.18969
28.5000	0.19164
29.0000	0.19328
29.5000	0.1947
30.0000	0.19631
30.5000	0.19794
31.0000	0.19924
31.5000	0.20046
32.0000	0.20184
32.5000	0.2031
33.0000	0.20414
33.5000	0.20515
34.0000	0.20616
34.5000	0.20718
35.0000	0.20815
35.5000	0.20896
36.0000	0.20973
36.5000	0.21052
37.0000	0.21137
37.5000	0.21231
38.0000	0.21317
38.5000	0.21389
39.0000	0.21451
39.5000	0.21503
40.0000	0.21561
40.5000	0.21637
41.0000	0.21708
41.5000	0.2172
42.0000	0.21304
42.5000	0.20478
43.0000	0.19522
43.5000	0.18611
44.0000	0.178
44.5000	0.16978
45.0000	0.16247
45.5000	0.15511
46.0000	0.14795
46.5000	0.14154
47.0000	0.13519
47.5000	0.12923
48.0000	0.12383
48.5000	0.11829
49.0000	0.11309
49.5000	0.10844
50.0000	0.10371
50.5000	0.09919
51.0000	0.09513
51.5000	0.09128
52.0000	0.0876
52.5000	0.08406
53.0000	0.08052
53.5000	0.07744
54.0000	0.07423
54.5000	0.07121
55.0000	0.06866
55.5000	0.06603
56.0000	0.06354
56.5000	0.06123
57.0000	0.05887
57.5000	0.05675
58.0000	0.05474
58.5000	0.05277
59.0000	0.05106
59.5000	0.0494
60.0000	0.04759
60.5000	0.0459
61.0000	0.04442
61.5000	0.04306
62.0000	0.04175
62.5000	0.04052
63.0000	0.0392
63.5000	0.03807
64.0000	0.03695
64.5000	0.03596
65.0000	0.0351
65.5000	0.03417
66.0000	0.03316
66.5000	0.03235
67.0000	0.03154
67.5000	0.03079
68.0000	0.03018
68.5000	0.02946
69.0000	0.02868
69.5000	0.02806
70.0000	0.02735
70.5000	0.02681
71.0000	0.0265
71.5000	0.02592
72.0000	0.02534
72.5000	0.02493
73.0000	0.02455
73.5000	0.02406
74.0000	0.02367
74.5000	0.02329
75.0000	0.02293
75.5000	0.02267
76.0000	0.02227
76.5000	0.02195
77.0000	0.02168
77.5000	0.02139
78.0000	0.02117
78.5000	0.02099
79.0000	0.02077
79.5000	0.02057
80.0000	0.02036
80.5000	0.02011
81.0000	0.01979
81.5000	0.01966
82.0000	0.0196
82.5000	0.01944
83.0000	0.01934
83.5000	0.01916
84.0000	0.01898
84.5000	0.01884
85.0000	0.01881
85.5000	0.01874
86.0000	0.01849
86.5000	0.01838
87.0000	0.01833
87.5000	0.01835
88.0000	0.01821
88.5000	0.01798
89.0000	0.01788
89.5000	0.01795
90.0000	0.01792
90.5000	0.01772
91.0000	0.01762
91.5000	0.01771
92.0000	0.01761
92.5000	0.01745
